PB/L1/s-FB/(2,L[3-4])/s-lal/LHB/b
PB/R1|L1/s-FB/(2,L[3-4])/s-lal/LHB/b
PB/R1/s-FB/(2,L[2-3])/s-lal/LHB/b
PB/R2/s-FB/(2,L[1-2])/s-lal/LHB/b
PB/R3/s-FB/(2,[L1,R1])/s-lal/LHB/b
PB/R4/s-FB/(2,R[1-2])/s-lal/LHB/b
PB/R5/s-FB/(2,R[2-3])/s-lal/LHB/b
PB/R6/s-FB/(2,R[3-4])/s-lal/LHB/b
PB/R7/s-FB/(2,R[3-4])/s-lal/LHB/b
PB/L7/s-FB/(2,L[3-4])/s-LAL/RHB/b
PB/L6/s-FB/(2,L[3-4])/s-LAL/RHB/b
PB/L5/s-FB/(2,L[2-3])/s-LAL/RHB/b
PB/L4/s-FB/(2,L[1-2])/s-LAL/RHB/b
PB/L3/s-FB/(2,[R1,L1])/s-LAL/RHB/b
PB/L2/s-FB/(2,R[1-2])/s-LAL/RHB/b
PB/L1/s-FB/(2,R[2-3])/s-LAL/RHB/b
PB/L1|R1/s-FB/(2,R[3-4])/s-LAL/RHB/b
PB/R1/s-FB/(2,R[3-4])/s-LAL/RHB/b
